00:00:00:00:00:00,96,0,0,1,01:36:10.484
00:00:00:00:00:00,96,0,0,1,01:36:10.988
00:00:00:00:00:00,96,0,0,1,01:36:11.492
00:00:00:00:00:00,96,0,0,1,01:36:11.996
00:00:00:00:00:00,96,0,0,1,01:36:12.500
00:00:00:00:00:00,96,0,0,1,01:36:13.005
00:00:00:00:00:00,96,0,0,1,01:36:13.508
00:00:00:00:00:00,96,0,0,1,01:36:14.012
00:00:00:00:00:00,96,0,0,1,01:36:14.516
00:00:00:00:00:00,96,0,0,1,01:36:15.020
00:00:00:00:00:00,96,0,0,1,01:36:15.524
00:00:00:00:00:00,96,0,0,1,01:36:16.028
00:00:00:00:00:00,96,0,0,1,01:36:16.532
00:00:00:00:00:00,96,0,0,1,01:36:17.036
00:00:00:00:00:00,96,0,0,1,01:36:17.540
00:00:00:00:00:00,96,0,0,1,01:36:18.044
00:00:00:00:00:00,96,0,0,1,01:36:18.548
00:00:00:00:00:00,96,0,0,1,01:36:19.053
00:00:00:00:00:00,96,0,0,1,01:36:19.556
00:00:00:00:00:00,96,0,0,1,01:36:20.060
00:00:00:00:00:00,96,0,0,1,01:36:20.565
00:00:00:00:00:00,96,0,0,1,01:36:21.069
00:00:00:00:00:00,96,0,0,1,01:36:21.573
00:00:00:00:00:00,96,0,0,1,01:36:22.077
00:00:00:00:00:00,96,0,0,1,01:36:22.581
00:00:00:00:00:00,96,0,0,1,01:36:23.085
00:00:00:00:00:00,96,0,0,1,01:36:23.589
00:00:00:00:00:00,96,0,0,1,01:36:24.093
00:00:00:00:00:00,96,0,0,1,01:36:24.597
00:00:00:00:00:00,96,0,0,1,01:36:25.101
00:00:00:00:00:00,96,0,0,1,01:36:25.605
00:00:00:00:00:00,96,0,0,1,01:36:26.109
00:00:00:00:00:00,96,0,0,1,01:36:26.613
00:00:00:00:00:00,96,0,0,1,01:36:27.117
00:00:00:00:00:00,96,0,0,1,01:36:27.621
00:00:00:00:00:00,96,0,0,1,01:36:28.125
00:00:00:00:00:00,96,0,0,1,01:36:28.629
00:00:00:00:00:00,96,0,0,1,01:36:29.133
00:00:00:00:00:00,96,0,0,1,01:36:29.637
00:00:00:00:00:00,96,0,0,1,01:36:30.141
00:00:00:00:00:00,96,0,0,1,01:36:30.645
00:00:00:00:00:00,96,0,0,1,01:36:31.149
00:00:00:00:00:00,96,0,0,1,01:36:31.653
00:00:00:00:00:00,96,0,0,1,01:36:32.277
00:00:00:00:00:00,96,0,0,1,01:36:32.781
00:00:00:00:00:00,96,0,0,1,01:36:33.285
00:00:00:00:00:00,96,0,0,1,01:36:33.789
00:00:00:00:00:00,96,0,0,1,01:36:34.293
00:00:00:00:00:00,96,0,0,1,01:36:34.797
00:00:00:00:00:00,96,0,0,1,01:36:35.301
00:00:00:00:00:00,96,0,0,1,01:36:35.805
00:00:00:00:00:00,96,0,0,1,01:36:36.309
00:00:00:00:00:00,96,0,0,1,01:36:36.813
00:00:00:00:00:00,96,0,0,1,01:36:37.317
00:00:00:00:00:00,96,0,0,1,01:36:37.821
00:00:00:00:00:00,96,0,0,1,01:36:38.325
00:00:00:00:00:00,96,0,0,1,01:36:38.829
00:00:00:00:00:00,96,0,0,1,01:36:39.333
00:00:00:00:00:00,96,0,0,1,01:36:39.837
00:00:00:00:00:00,96,0,0,1,01:36:40.341
00:00:00:00:00:00,96,0,0,1,01:36:40.845
00:00:00:00:00:00,96,0,0,1,01:36:41.349
00:00:00:00:00:00,96,0,0,1,01:36:41.853
00:00:00:00:00:00,96,0,0,1,01:36:42.357
00:00:00:00:00:00,96,0,0,1,01:36:42.861
00:00:00:00:00:00,96,0,0,1,01:36:43.365
00:00:00:00:00:00,96,0,0,1,01:36:43.869
00:00:00:00:00:00,96,0,0,1,01:36:44.373
00:00:00:00:00:00,96,0,0,1,01:36:44.877
00:00:00:00:00:00,96,0,0,1,01:36:45.381
00:00:00:00:00:00,96,0,0,1,01:36:45.885
00:00:00:00:00:00,96,0,0,1,01:36:46.389
00:00:00:00:00:00,96,0,0,1,01:36:46.893
00:00:00:00:00:00,96,0,0,1,01:36:47.397
00:00:00:00:00:00,96,0,0,1,01:36:47.901
00:00:00:00:00:00,96,0,0,1,01:36:48.405
00:00:00:00:00:00,96,0,0,1,01:36:48.909
00:00:00:00:00:00,96,0,0,1,01:36:49.413
00:00:00:00:00:00,96,0,0,1,01:36:49.917
00:00:00:00:00:00,96,0,0,1,01:36:50.421
00:00:00:00:00:00,96,0,0,1,01:36:50.925
00:00:00:00:00:00,96,0,0,1,01:36:51.429
00:00:00:00:00:00,96,0,0,1,01:36:51.933
00:00:00:00:00:00,96,0,0,1,01:36:52.437
00:00:00:00:00:00,96,0,0,1,01:36:52.941
00:00:00:00:00:00,96,0,0,1,01:36:53.445
00:00:00:00:00:00,96,0,0,1,01:36:53.949
00:00:00:00:00:00,96,0,0,1,01:36:54.453
00:00:00:00:00:00,96,0,0,1,01:36:54.957
00:00:00:00:00:00,96,0,0,1,01:36:55.461
00:00:00:00:00:00,96,0,0,1,01:36:55.965
00:00:00:00:00:00,96,0,0,1,01:36:56.469
00:00:00:00:00:00,96,0,0,1,01:36:56.973
00:00:00:00:00:00,96,0,0,1,01:36:57.477
00:00:00:00:00:00,96,0,0,1,01:36:57.985
00:00:00:00:00:00,96,0,0,1,01:36:58.493
00:00:00:00:00:00,96,0,0,1,01:36:59.001
00:00:00:00:00:00,96,0,0,1,01:36:59.509
00:00:00:00:00:00,96,0,0,1,01:37:00.017
00:00:00:00:00:00,96,0,0,1,01:37:00.526
00:00:00:00:00:00,96,0,0,1,01:37:01.034
00:00:00:00:00:00,96,0,0,1,01:37:01.542
00:00:00:00:00:00,96,0,0,1,01:37:02.050
00:00:00:00:00:00,96,0,0,1,01:37:02.558
00:00:00:00:00:00,96,0,0,1,01:37:03.066
00:00:00:00:00:00,96,0,0,1,01:37:03.574
00:00:00:00:00:00,96,0,0,1,01:37:04.082
00:00:00:00:00:00,96,0,0,1,01:37:04.590
00:00:00:00:00:00,96,0,0,1,01:37:05.098
00:00:00:00:00:00,96,0,0,1,01:37:05.606
00:00:00:00:00:00,96,0,0,1,01:37:06.114
00:00:00:00:00:00,96,0,0,1,01:37:06.622
00:00:00:00:00:00,96,0,0,1,01:37:07.130
00:00:00:00:00:00,96,0,0,1,01:37:07.638
00:00:00:00:00:00,96,0,0,1,01:37:08.146
00:00:00:00:00:00,96,0,0,1,01:37:08.654
00:00:00:00:00:00,96,0,0,1,01:37:09.158
00:00:00:00:00:00,96,0,0,1,01:37:09.662
00:00:00:00:00:00,96,0,0,1,01:37:10.166
00:00:00:00:00:00,96,0,0,1,01:37:10.670
00:00:00:00:00:00,96,0,0,1,01:37:11.174
00:00:00:00:00:00,96,0,0,1,01:37:11.678
00:00:00:00:00:00,96,0,0,1,01:37:12.182
00:00:00:00:00:00,96,0,0,1,01:37:12.686
00:00:00:00:00:00,96,0,0,1,01:37:13.190
00:00:00:00:00:00,96,0,0,1,01:37:13.694
00:00:00:00:00:00,96,0,0,1,01:37:14.198
00:00:00:00:00:00,96,0,0,1,01:37:14.702
00:00:00:00:00:00,96,0,0,1,01:37:15.206
00:00:00:00:00:00,96,0,0,1,01:37:15.710
00:00:00:00:00:00,96,0,0,1,01:37:16.214
00:00:00:00:00:00,96,0,0,1,01:37:16.718
00:00:00:00:00:00,96,0,0,1,01:37:17.222
00:00:00:00:00:00,96,0,0,1,01:37:17.726
00:00:00:00:00:00,96,0,0,1,01:37:18.230
00:00:00:00:00:00,96,0,0,1,01:37:18.734
00:00:00:00:00:00,96,0,0,1,01:37:19.238
00:00:00:00:00:00,96,0,0,1,01:37:19.742
00:00:00:00:00:00,96,0,0,1,01:37:20.246
00:00:00:00:00:00,96,0,0,1,01:37:20.750
00:00:00:00:00:00,96,0,0,1,01:37:21.254
00:00:00:00:00:00,96,0,0,1,01:37:21.758
00:00:00:00:00:00,96,0,0,1,01:37:22.262
00:00:00:00:00:00,96,0,0,1,01:37:22.766
00:00:00:00:00:00,96,0,0,1,01:37:23.270
00:00:00:00:00:00,96,0,0,1,01:37:23.774
00:00:00:00:00:00,96,0,0,1,01:37:24.278
00:00:00:00:00:00,96,0,0,1,01:37:24.782
00:00:00:00:00:00,96,0,0,1,01:37:25.286
00:00:00:00:00:00,96,0,0,1,01:37:25.790
00:00:00:00:00:00,96,0,0,1,01:37:26.294
00:00:00:00:00:00,96,0,0,1,01:37:26.798
00:00:00:00:00:00,96,0,0,1,01:37:27.302
00:00:00:00:00:00,96,0,0,1,01:37:27.806
00:00:00:00:00:00,96,0,0,1,01:37:28.310
00:00:00:00:00:00,96,0,0,1,01:37:28.814
00:00:00:00:00:00,96,0,0,1,01:37:29.318
00:00:00:00:00:00,96,0,0,1,01:37:29.822
00:00:00:00:00:00,96,0,0,1,01:37:30.326
00:00:00:00:00:00,96,0,0,1,01:37:30.830
00:00:00:00:00:00,96,0,0,1,01:37:31.334
00:00:00:00:00:00,96,0,0,1,01:37:31.838
00:00:00:00:00:00,96,0,0,1,01:37:32.342
00:00:00:00:00:00,96,0,0,1,01:37:32.846
00:00:00:00:00:00,96,0,0,1,01:37:33.350
00:00:00:00:00:00,96,0,0,1,01:37:33.854
00:00:00:00:00:00,96,0,0,1,01:37:34.358
00:00:00:00:00:00,96,0,0,1,01:37:34.862
00:00:00:00:00:00,96,0,0,1,01:37:35.366
00:00:00:00:00:00,96,0,0,1,01:37:35.870
00:00:00:00:00:00,96,0,0,1,01:37:36.374
00:00:00:00:00:00,96,0,0,1,01:37:36.878
00:00:00:00:00:00,96,0,0,1,01:37:37.382
00:00:00:00:00:00,96,0,0,1,01:37:37.886
00:00:00:00:00:00,96,0,0,1,01:37:38.390
00:00:00:00:00:00,96,0,0,1,01:37:38.894
00:00:00:00:00:00,96,0,0,1,01:37:39.398
00:00:00:00:00:00,96,0,0,1,01:37:39.902
00:00:00:00:00:00,96,0,0,1,01:37:40.406
00:00:00:00:00:00,96,0,0,1,01:37:40.910
00:00:00:00:00:00,96,0,0,1,01:37:41.414
00:00:00:00:00:00,96,0,0,1,01:37:41.918
00:00:00:00:00:00,96,0,0,1,01:37:42.422
00:00:00:00:00:00,96,0,0,1,01:37:42.926
00:00:00:00:00:00,96,0,0,1,01:37:43.430
00:00:00:00:00:00,96,0,0,1,01:37:43.934
00:00:00:00:00:00,96,0,0,1,01:37:44.438
00:00:00:00:00:00,96,0,0,1,01:37:44.942
00:00:00:00:00:00,96,0,0,1,01:37:45.446
00:00:00:00:00:00,96,0,0,1,01:37:45.950
00:00:00:00:00:00,96,0,0,1,01:37:46.454
00:00:00:00:00:00,96,0,0,1,01:37:46.958
00:00:00:00:00:00,96,0,0,1,01:37:47.462
00:00:00:00:00:00,96,0,0,1,01:37:47.966
00:00:00:00:00:00,96,0,0,1,01:37:48.470
00:00:00:00:00:00,96,0,0,1,01:37:48.974
00:00:00:00:00:00,96,0,0,1,01:37:49.479
00:00:00:00:00:00,96,0,0,1,01:37:49.982
00:00:00:00:00:00,96,0,0,1,01:37:50.487
00:00:00:00:00:00,96,0,0,1,01:37:50.991
00:00:00:00:00:00,96,0,0,1,01:37:51.495
00:00:00:00:00:00,96,0,0,1,01:37:51.999
00:00:00:00:00:00,96,0,0,1,01:37:52.503
00:00:00:00:00:00,96,0,0,1,01:37:53.008
00:00:00:00:00:00,96,0,0,1,01:37:53.511
00:00:00:00:00:00,96,0,0,1,01:37:54.019
